match_id,competition_id
9880,11
9912,11
9924,11
9855,11
9827,11
9799,11
9636,11
9609,11
9575,11
9928,11
9736,11
9742,11
9765,11
9661,11
9592,11
9870,11
9783,11
9700,11
9860,11
9695,11
9794,11
9717,11
9673,11
9650,11
9620,11
9837,11
9811,11
9642,11
9774,11
9602,11
9948,11
9682,11
9581,11
9726,11
9754,11
9889,11
266989,11
266357,11
267569,11
267212,11
266669,11
266892,11
267220,11
267670,11
266516,11
267039,11
266477,11
267101,11
266440,11
266033,11
267660,11
266273,11
267395,11
266874,11
266731,11
266528,11
266280,11
267432,11
267076,11
267590,11
267373,11
267077,11
266952,11
267464,11
266299,11
266191,11
265952,11
267492,11
267596,11
267058,11
69243,11
69241,11
69239,11
69257,11
69253,11
69244,11
69277,11
69229,11
69219,11
69218,11
69250,11
69242,11
69256,11
69298,11
69259,11
69224,11
69210,11
69220,11
69237,11
69226,11
69252,11
69255,11
69214,11
69262,11
69240,11
69233,11
69213,11
69238,11
69267,11
69288,11
69254,11
69292,11
69227,11
69247,11
69221,11
69276,11
69304,11
69307,11
69271,11
69305,11
69278,11
69275,11
69295,11
69270,11
69303,11
69245,11
69287,11
69296,11
69260,11
69269,11
69246,11
69302,11
69282,11
69274,11
69283,11
69280,11
69286,11
69291,11
69236,11
69234,11
69272,11
69308,11
69299,11
69300,11
69289,11
69263,11
69306,11
69248,11
69328,11
69329,11
70219,11
69331,11
69337,11
69322,11
69316,11
69332,11
69335,11
69330,11
69297,11
69325,11
69324,11
70225,11
69293,11
70223,11
69333,11
69264,11
69343,11
69340,11
69265,11
69319,11
69334,11
69327,11
69315,11
69336,11
69326,11
69268,11
69320,11
69312,11
69314,11
69318,11
69338,11
70220,11
70224,11
70221,11
69323,11
266015,11
70270,11
70281,11
70308,11
70282,11
266724,11
70272,11
70304,11
70280,11
70296,11
70297,11
266433,11
70256,11
70259,11
70260,11
70263,11
70276,11
70287,11
70284,11
70275,11
70286,11
70309,11
70300,11
70295,11
70307,11
70305,11
266827,11
267502,11
70271,11
70294,11
70262,11
70292,11
267368,11
70301,11
70298,11
70302,11
70291,11
267138,11
267520,11
70289,11
266066,11
267675,11
70288,11
266074,11
267567,11
266201,11
266274,11
70293,11
265918,11
70277,11
70283,11
70306,11
266256,11
266613,11
266491,11
265830,11
265857,11
266883,11
266603,11
265837,11
266462,11
267192,11
266420,11
267183,11
265835,11
266838,11
265963,11
266117,11
266916,11
267197,11
70264,11
70273,11
267301,11
265896,11
265866,11
267400,11
266406,11
267085,11
267561,11
266148,11
266045,11
70303,11
266240,11
267597,11
266794,11
267343,11
266631,11
266320,11
266230,11
266525,11
266560,11
266846,11
266531,11
266921,11
267499,11
266741,11
266871,11
266967,11
266929,11
266770,11
266142,11
3825848,11
3825895,11
3825894,11
3825855,11
3825908,11
3825883,11
3825900,11
3825902,11
3825876,11
3825846,11
3825869,11
3825882,11
3825849,11
3825860,11
3825847,11
3825817,11
3825778,11
3825777,11
3825740,11
3825875,11
3825884,11
3825842,11
3825890,11
3825871,11
3825896,11
3825841,11
3825843,11
3825839,11
3825838,11
3825840,11
3825837,11
3825836,11
3825835,11
3825834,11
3825906,11
3825897,11
3825889,11
3825833,11
3825857,11
3825863,11
3825829,11
3825830,11
3825832,11
3825831,11
3825828,11
3825827,11
3825826,11
3825825,11
3825824,11
3825823,11
3825905,11
3825822,11
3825821,11
3825820,11
3825819,11
3825818,11
3825887,11
3825907,11
3825903,11
3825816,11
3825815,11
3825858,11
3825813,11
3825814,11
3825812,11
3825811,11
3825807,11
3825809,11
3825810,11
3825808,11
3825804,11
3825867,11
3825805,11
3825784,11
3825782,11
3825757,11
3825641,11
3825803,11
3825800,11
3825801,11
3825799,11
3825797,11
3825798,11
3825796,11
3825795,11
3825793,11
3825792,11
3825794,11
3825788,11
3825791,11
3825790,11
3825787,11
3825789,11
3825786,11
3825781,11
3825785,11
3825783,11
3825780,11
3825779,11
3825773,11
3825776,11
3825775,11
3825769,11
3825770,11
3825768,11
3825736,11
3825731,11
3825685,11
3825678,11
3825643,11
3825642,11
3825638,11
3825614,11
3825612,11
3825607,11
3825595,11
3825579,11
3825572,11
3825774,11
3825772,11
3825771,11
3825767,11
3825706,11
3825712,11
3825708,11
3825707,11
3825705,11
3825711,11
3825703,11
3825700,11
3825701,11
3825702,11
3825704,11
3825891,11
3825699,11
3825697,11
3825698,11
3825694,11
3825693,11
3825696,11
3825695,11
3825689,11
3825690,11
3825692,11
3825691,11
3825688,11
3825687,11
3825683,11
3825686,11
3825684,11
3825681,11
3825682,11
3825680,11
3825677,11
3825675,11
3825676,11
3825674,11
3825673,11
3825671,11
3825672,11
3825670,11
3825669,11
3825668,11
3825666,11
3825665,11
3825667,11
3825664,11
3825662,11
3825888,11
3825663,11
3825659,11
3825658,11
3825660,11
3825661,11
3825656,11
3825657,11
3825652,11
3825623,11
3825626,11
3825616,11
3825608,11
3825601,11
3825899,11
3825852,11
3825647,11
3825637,11
3825628,11
3825619,11
3825618,11
3825611,11
3825609,11
3825598,11
3825584,11
3825570,11
3825562,11
3825904,11
3825901,11
3825898,11
3825893,11
3825892,11
3825886,11
3825885,11
3825881,11
3825880,11
3825879,11
3825878,11
3825877,11
3825874,11
3825873,11
3825872,11
3825870,11
3825868,11
3825866,11
3825865,11
3825864,11
3825862,11
3825861,11
3825859,11
3825856,11
3825854,11
3825853,11
3825851,11
3825850,11
3825845,11
3825844,11
3825806,11
3825802,11
3825679,11
3825655,11
3825654,11
3825653,11
3825651,11
3825650,11
3825649,11
3825648,11
3825765,11
3825766,11
3825764,11
3825760,11
3825763,11
3825761,11
3825762,11
3825759,11
3825758,11
3825756,11
3825755,11
3825754,11
3825750,11
3825752,11
3825751,11
3825753,11
3825749,11
3825747,11
3825748,11
3825745,11
3825746,11
3825743,11
3825744,11
3825742,11
3825741,11
3825739,11
3825738,11
3825737,11
3825734,11
3825733,11
3825732,11
3825735,11
3825729,11
3825728,11
3825730,11
3825727,11
3825723,11
3825726,11
3825725,11
3825724,11
3825722,11
3825716,11
3825719,11
3825720,11
3825717,11
3825721,11
3825718,11
3825715,11
3825714,11
3825713,11
3825710,11
3825709,11
3825646,11
3825645,11
3825644,11
3825640,11
3825639,11
3825636,11
3825635,11
3825634,11
3825633,11
3825632,11
3825631,11
3825630,11
3825629,11
3825627,11
3825625,11
3825624,11
3825622,11
3825621,11
3825620,11
3825617,11
3825615,11
3825613,11
3825610,11
3825606,11
3825605,11
3825604,11
3825603,11
3825602,11
3825600,11
3825599,11
3825597,11
3825596,11
3825594,11
3825593,11
3825592,11
3825591,11
3825590,11
3825589,11
3825588,11
3825587,11
3825586,11
3825585,11
3825583,11
3825582,11
3825581,11
3825580,11
3825578,11
3825577,11
3825576,11
3825575,11
3825574,11
3825573,11
3825571,11
3825569,11
3825568,11
3825567,11
3825566,11
3825565,11
3825564,11
3825563,11
266498,11
266986,11
267533,11
266310,11
267576,11
266653,11
265944,11
265894,11
265958,11
267611,11
267422,11
266236,11
267274,11
266961,11
266885,11
266815,11
267506,11
266664,11
266106,11
266670,11
266149,11
266620,11
266056,11
267327,11
266166,11
266160,11
265839,11
266424,11
266467,11
267273,11
266490,11
266254,11
266557,11
3888713,11
68314,11
68313,11
68316,11
68315,11
69153,11
68352,11
68353,11
69164,11
68324,11
68320,11
68323,11
69172,11
68339,11
68348,11
68354,11
68351,11
68317,11
68350,11
68325,11
68321,11
68319,11
68342,11
68322,11
68318,11
69176,11
69179,11
68334,11
68333,11
68336,11
68326,11
69162,11
68335,11
68332,11
68330,11
68329,11
68341,11
69165,11
69155,11
69154,11
69156,11
69159,11
69175,11
69160,11
68331,11
68328,11
68340,11
69174,11
68347,11
68327,11
69157,11
15978,11
15998,11
16029,11
16073,11
16086,11
16190,11
16109,11
16120,11
16182,11
16215,11
16173,11
16265,11
15946,11
16157,11
16136,11
16248,11
16056,11
16289,11
16079,11
16149,11
16275,11
15973,11
16317,11
16131,11
16205,11
16095,11
16306,11
16010,11
15986,11
16240,11
16023,11
16196,11
15956,11
16231,11
69151,11
69144,11
69169,11
68360,11
69186,11
69180,11
69143,11
69181,11
68365,11
69178,11
68364,11
69170,11
68359,11
68356,11
69158,11
69187,11
68363,11
69166,11
68366,11
69148,11
69184,11
69173,11
69146,11
69182,11
68358,11
68361,11
69141,11
69145,11
69225,11
69212,11
69235,11
69232,11
69216,11
69209,11
69231,11
69217,11
69273,11
69222,11
69223,11
69195,11
69251,11
69185,11
69142,11
69139,11
69189,11
69171,11
69249,11
69215,11
69138,11
69147,11
69177,11
69207,11
69228,11
69183,11
69279,11
69285,11
69211,11
69230,11
69149,11
303731,11
303532,11
303516,11
303596,11
303430,11
303725,11
303504,11
303451,11
303664,11
303682,11
303400,11
303634,11
303421,11
303493,11
303680,11
303479,11
303615,11
303696,11
303487,11
303600,11
303548,11
303652,11
303674,11
303470,11
303700,11
