away_team_id,away_team_name,away_team_gender,away_team_group
912,Czech Republic,male,Group D
780,Portugal,male,F
1835,Finland,male,Group B
796,Russia,male,B
147,Marseille,male,
160,Gazélec Ajaccio,male,
144,Nantes,male,
2736,Bastia,male,
146,Bordeaux,male,
137,Lyon,male,
129,AS Monaco,male,
145,Angers,male,
139,Montpellier,male,
134,Rennes,male,
130,Toulouse,male,
156,Stade de Reims,male,
136,OGC Nice,male,
143,Lille,male,
131,Paris Saint-Germain,male,
135,Saint-Étienne,male,
142,Guingamp,male,
140,Caen,male,
165,Lorient,male,
133,Troyes,male,
1205,Australia Women's,female,
6045,Zambia Women's,female,
16803,Panama Women's,female,
1206,Canada Women's,female,
1212,Jamaica Women's,female,
16802,Colombia Women's,female,
1214,United States Women's,female,
1216,South Africa Women's,female,
2391,Morocco Women's,female,
1213,Nigeria Women's,female,
2355,Haiti Women's,female,
16769,Vietnam Women's,female,
16768,Republic of Ireland Women's,female,
1832,Costa Rica Women's,female,
1203,Brazil Women's,female,
1106,Philippines Women's,female,
1215,New Zealand Women's,female,
1211,Korea Republic Women's,female,
1204,Argentina Women's,female,
1207,China PR Women's,female,
1210,Japan Women's,female,
863,Spain Women's,female,B
1107,Thailand Women's,female,F
858,Sweden Women's,female,F
866,Scotland Women's,female,D
1208,Cameroon Women's,female,E
1205,Australia Women's,female,C
855,Italy Women's,female,C
855,Italy Women's,female,Group C
1210,Japan Women's,female,D
1211,Korea Republic Women's,female,A
1207,China PR Women's,female,B
1215,New Zealand Women's,female,E
1206,Canada Women's,female,E
1214,United States Women's,female,F
1213,Nigeria Women's,female,A
1203,Brazil Women's,female,C
865,England Women's,female,D
852,Norway Women's,female,A
1209,Chile Women's,female,F
1216,South Africa Women's,female,B
1212,Jamaica Women's,female,C
851,Netherlands Women's,female,E
1204,Argentina Women's,female,D
861,France Women's,female,A
857,Germany Women's,female,B
1324,River Plate,male,
1328,Boca Juniors,male,
181,Schalke 04,male,
184,Eintracht Frankfurt,male,
178,Hannover 96,male,
872,Darmstadt 98,male,
177,FSV Mainz 05,male,
171,Hamburger SV,male,
172,Augsburg,male,
176,Werder Bremen,male,
189,Ingolstadt,male,
186,FC Köln,male,
185,Borussia Mönchengladbach,male,
173,Hertha Berlin,male,
180,Borussia Dortmund,male,
179,Wolfsburg,male,
904,Bayer Leverkusen,male,
175,Hoffenheim,male,
