id,name
1,Regular Season
26,Final
74,Championship - Final
158,Play-offs - Semi-Finals
15,Semi-finals
11,Quarter-finals
10,Group Stage
33,Round of 16
25,3rd Place Final
99,1st Group Stage
42,Apertura
