745,Francisco Herrera Lorenzo,Paco Herrera,1953-12-02
1001036,Juan Eduardo Esnáider Belén,,1973-03-05
1816,Constantin Gâlcă,,1972-03-08
5049,Juan Merino Ruíz,Juan Merino,1970-08-24
1001017,Ricardo Miguel Moreira da Costa,Ricardo Costa,1981-05-16
226,José Manuel González López,José González,1966-10-14
1000960,Carlos Gurpegi Nausia,,1980-08-19
2449,Gary Neville,,1975-02-18
1000958,Daniele Bonera,,1981-05-31
148,Rafael Benítez Maudes,Rafael Benítez,1960-04-16
1000947,Diego Mainz García,,1982-12-29
5162,Tiago Cardoso Mendes,,1981-05-02
4953,Frank Rijkaard,,1962-09-30
6233,Martín Monteagudo Monteagudo,,1963-05-10
4989,Antonio Tapia Flores,Antonio Tapia,1959-11-13
3928,Fernando Vázquez Pena,Fernando Vázquez,1954-10-24
5042,Víctor Muñoz Manrique,Víctor Muñoz,1957-03-15
3899,Juan de la Cruz Ramos Cano,Juande Ramos,1954-09-25
3572,Vanderlei Luxemburgo da Silva,Vanderlei Luxemburgo,1952-05-10
4987,Víctor Rodolfo Espárrago Videla,,1944-10-06
4955,Francisco Flores Lajusticia,Paco Flores,1952-11-26
5046,Fabio Capello,,1946-06-18
4960,Félix Ángel Sarriugarte Montoya,Félix Sarriugarte,1964-11-06
280,José Miguel Azevedo Cardoso,Miguel Cardoso,1972-05-28
219,Francisco José López Fernández,Paco López,1967-09-19
768,Leonardo Neoren Franco,Leo Franco,1977-05-20
766,Miguel Ángel Sánchez Muñoz,Míchel,1975-10-30
4268,José Ignacio Fernández García,Nacho Fernández,1973-05-05
25,Santiago Hernán Solari Poggio,Santiago Solari,1976-10-07
248,Giovanni De Biasi,Gianni De Biasi,1956-06-16
4992,Javier Iruretagoyena Amiano,Javier Irureta,1948-04-01
5047,Manuel Zambrano Díaz,,1960-03-08
676,Ronald Koeman,,1963-03-21
4956,Francisco Chaparro Jara,Paco Chaparro,1942-11-30
5041,Sergije Krešić Juric,,1946-11-29
4981,Bartolomé Márquez López,Tintín Márquez,1962-01-07
430,Óscar García Junyent,Óscar García,1973-04-26
1603,Vicente Moreno Peris,Vicente Moreno,1974-10-26
3580,Albert Celades López,Albert Celades,1975-09-29
4978,Francisco Joaquín Pérez Rufete,Francisco Rufete,1976-11-20
741,Julen Lopetegui Argote,Julen Lopetegui,1966-08-28
1597,Diego Martínez Penas,,1980-12-16
2886,Eduardo Germán Coudet,Eduardo Coudet,1974-09-12
1605,Juan José Rojo Martín,Pacheta,1968-03-23
3567,Edoardo Reja,,1945-10-10
1003077,Luigi De Canio,,1957-09-26
3282,Roberto Stellone,,1977-07-22
1000693,Stefano Colantuono,,1962-10-23
710,Gian Piero Ventura	,,1948-01-14
388,Maurizio Sarri,,1959-01-10
2997,Roberto Mancini,,1964-11-27
384,Simone Inzaghi,,1976-04-05
605,Marco Giampaolo,,1967-08-02
1798,Paulo Manuel Carvalho de Sousa,Paulo Sousa,1970-08-30
265,Rudi Garcia,,1964-02-20
436,Stefano Pioli,,1965-10-20
107,Eusebio Di Francesco,,1969-09-08
136,Roberto Donadoni,,1963-09-09
379,Siniša Mihajlović,,1969-02-20
114,Rolando Maran,,1963-07-14
181,Massimiliano Allegri,,1967-08-11
664,Luigi Delneri,,1950-08-23
102,Giuseppe Iachini,,1964-05-07
402,Gian Piero Gasperini,,1958-01-26
5445,Delio Rossi,,1960-01-26
4424,Cristian Brocchi,,1976-01-30
4149,Fabrizio Castori,,1954-07-11
399,Luciano Spalletti,,1959-03-07
625,Davide Ballardini,,1964-01-06
1002925,Walter Novellino,,1953-06-04
1002924,Giovanni Bosi,,
4071,Andrea Mandorlini,,1960-07-17
273,Walter Zenga,,1960-04-28
4159,Giovanni Tedesco,,1972-05-13
1002922,Fabio Viviani,,1966-09-29
1001978,Leandro Greco,,1986-07-19
484,Giuseppe Sannino,,1957-04-30
1002096,Rafael Márquez Álvarez,,1979-02-13
1003285,Rino Marchesi,,
1001756,Ottavio Bianchi,,1943-10-06
503,Manuel Márquez Roca,Manolo Márquez,1968-09-07
1000614,Ivan Vukomanović,,1977-06-19
1000617,Owen Columba Coyle,,1966-07-14
2815,Juan Ferrando Fenol,Juan Ferrando,1981-01-02
1000962,Mario Rivera Campesino,Mario Rivera,1977-08-13
1000615,Marco Pezzaiuoli,,1968-11-16
1000942,Derrick Pereira,,1962-03-16
1000992,Joaquín García,,
1000803,Des Buckingham,,1985-02-07
1001087,Syed Sabir Pasha,,1972-11-05
1000616,Khalid Ahmed Jamil,,1977-04-21
1000842,Božidar Bandović,,1969-08-30
1000817,José Manuel Díaz Fernández,Manolo Díaz,1968-08-30
3554,Francisco Ramírez González,Kiko Ramírez,1970-07-14
1000613,Antonio López Habas,Antonio López,1957-05-28
1001759,César Luis Menotti,,1938-11-05
1003287,Sergey Korshunov,,1928-10-08
94,Jürgen Klopp,,1967-06-16
788,Louis van Gaal,,1951-08-08
790,Alex Ferguson,,1941-12-31
444,Josef Heynckes,,1945-05-09
789,Roberto Di Matteo,,1970-05-29
1003270,Rinus Michels,,1928-02-09
1003271,Ferenc Puskás,,1927-04-01
1001760,Ștefan Kovács,,1920-10-02
1003281,Cestmir Vycpalek,,1921-05-15
60,Claudio Ranieri,,1951-10-20
38,Eddie Howe,,1977-11-29
300,Tony Pulis,,1958-01-16
561,Sam Allardyce,,1954-10-19
40,Steve McClaren,,1961-05-03
92,Rémi Garde,,1966-04-03
263,Roberto Martínez Montoliú,Roberto Martínez,1973-07-13
382,Alan Pardew,,1961-07-18
577,Arsène Wenger,,1949-10-22
5020,Eric Black,,1963-10-01
41,Alex Neil,,1981-06-09
3608,Guus Hiddink,,1946-11-08
55,Mark Hughes,,1963-11-01
150,Slaven Bilić,,1968-09-11
270,Garry Monk,,1979-03-06
453,Dick Advocaat,,1947-09-27
330,Kevin MacDonald,,1960-11-22
5003,Tim Sherwood,,1969-02-06
6,Brendan Rodgers,,1973-01-26
5019,Steve Holland,,1970-04-30
4711,Alan Curtis,,1954-04-16
3626,Francesco Guidolin,,1955-10-03
689,David Unsworth,,1973-10-16
3602,Dave Jones,,1956-08-17
2974,Micky Adams,,1961-11-08
3407,Alan Curbishley,,1957-11-08
3643,Peter Reid,,1956-06-20
3548,Graeme Souness,,1953-05-06
6094,David O''Leary,,1958-05-02
3404,Bobby Robson,,1933-02-18
4202,Kevin Joseph Keegan,Kevin Keegan,1951-02-14
37,Steve Bruce,,1960-12-31
749,Harry Redknapp,,1947-03-02
3533,David Pleat,,1945-01-15
3722,Gordon Strachan,,1957-02-09
403,Chris Coleman,Óscar Pareja,1970-06-10
3029,Eddie Gray,,1948-01-17
1003286,Arie Haan,,1948-11-16
6100,Dino Zoff,,1942-02-28
30,Nick Cushing,,1984-11-09
31,Joseph Montemurro,,1969-09-13
144,Kelly Chambers,,1986-01-11
152,Emma Hayes,,1976-10-18
149,Hope Patricia Powell,Hope Powell,1966-12-08
139,Matt Beard,,1978-01-09
146,Andy Spence,,1983-01-08
128,Marc Skinner,,1983-03-23
147,Lee Burch,,1984-06-21
143,Tanya Oxtoby,,1982-06-15
154,Neil Redfearn,,1965-06-20
623,Victoria Jepson,,1987-02-23
153,Chris Kirkland,,1981-05-02
1817,Marta Tejedor,,1968-12-23
639,Willie Kirk,,1978-06-07
2926,Casey Stoney,,1982-05-13
791,Karen Hills,,1975-05-05
3696,Alan Mahon,,1978-04-04
5424,Marcus Bignot,,1974-08-22
5650,Olli Harder,,1986-01-31
5389,Rehanne Skinner,,1979-11-13
3978,Carla Ward,,1982-12-21
4173,Gemma Davies,,
5115,Gareth Taylor,,1973-02-25
5573,Billy Stewart,,1965-01-01
5908,Dragan Stojković,,1965-03-03
2832,Murat Yakin,,1974-09-15
5677,Lionel Sebastián Scaloni,,1978-05-16
5696,Graham James Arnold,,1963-08-03
255,Kasper Hjulmand,,1972-04-09
4704,Telê Santana da Silva,Telê Santana,1931-07-26
1001303,Jalel Kadri,,
2881,Gustavo Julio Alfaro,Gustavo Alfaro,1962-08-14
635,Aliou Cissé,,1976-03-24
3633,Diego Martín Alonso López,Diego Alonso,1975-04-16
5688,Paulo Jorge Gomes Bento,Paulo Bento,1969-06-20
1001086,Hoalid Regragui,,1975-09-23
607,Fernando Manuel Fernandes da Costa Santos,Fernando Santos,1954-10-10
545,Didier Deschamps,,1968-10-15
642,Hervé Renard,,1968-09-30
5294,Czesław Michniewicz,,1970-02-12
547,Adenor Leonardo Bacchi,Tite,1961-05-25
5710,Félix Sánchez Bas,Félix Sánchez,1975-12-13
277,Gareth Southgate,,1970-09-03
307,Zlatko Dalić,,1966-10-26
5699,Hajime Moriyasu,,1968-08-23
93,Gregg Berhalter,,1973-08-01
3371,Hans-Dieter Flick,,1965-02-24
1001250,Rigobert Song Bahanag,,1976-07-01
3094,Luis Fernando Suárez Guzman,Luis Fernando Suárez,1959-12-23
1000518,Walid Regragui,,1975-09-23
1000471,Robert Page,,1974-09-03
1001251,Otto Addo,,1975-06-09
4435,John Herdman,,1975-07-19
645,Carlos Manuel Brito Leal Queiróz,Carlos Queiroz,1953-03-01
1003265,Vicente Ítalo Feola,Vicente Feola,2023-11-01
1003269,George Raynor,,1907-01-13
1003267,Albert Batteux,,2023-07-02
1003266,Aymoré Moreira,,2023-04-26
1003268,Ignacio Trelles,,2023-07-31
3609,Mário Jorge Lobo Zagallo,Mário Zagallo,1931-08-09
1003310,Waldyr Pereira,Didi,2023-10-08
1003309,Angelo Niculescu,,1921-10-01
1003280,Ferruccio Valcareggi,,2023-02-12
1003279,Juan Eduardo Hohberg,,1927-10-08
1003282,Alfred Ernest Ramsey,Alf Ramsey,1920-01-22
1003276,Jozef Marko,,1923-05-25
634,José Néstor Pekerman,José Pékerman,1949-09-03
549,Jan Olof Andersson,,1962-09-29
492,Vladimir Petković,,1963-08-15
654,Hernán Darío Gómez Jaramillo,Hernán Darío Gómez,1956-02-03
