6599,Rubén Salvador Pérez Del Mármol,Rubén Pérez
6601,Raúl García Carnero,Raúl García
6608,Nabil El Zhar,
6610,Iván Cuéllar Sacristán,Pichu
6666,Sabin Merino Zuloaga,Sabin Merino
6667,Mikel Vesga Arruti,Mikel Vesga
6738,Juan Francisco Moreno Fuertes,Juanfran
6739,Diego Alejandro Rolan Silva,Diego Rolán
6834,Gerard Gumbau Garriga,Gerard Gumbau
9879,Jon Ander Serantes Simon,Jon Ander Serantes
11730,Jonathan Cristian Silva,Jonathan Silva
11745,Michael Nicolás Santos Rosadilla,Michael Santos
16212,Óscar Rodríguez Arnaiz,Óscar Rodríguez
17818,Rodrigo Tarín Higón,Rodri Tarín
3023,Yuri Berchiche Izeta,Yuri Berchiche
6389,Mikel San José Domínguez,Mikel San José
6390,Markel Susaeta Laskurain,Markel Susaeta
6391,Raúl García Escudero,Raúl García
6393,Iñaki Williams Arthuer,Iñaki Williams
6394,Aritz Aduriz Zubeldia,Aritz Aduriz
6396,Beñat Etxebarria Urkiaga,Beñat Etxebarria
6649,Óscar de Marcos Arana,De Marcos
6665,Íñigo Martínez Berridi,Íñigo Martínez
6699,Ander Capa Rodríguez,Ander Capa
6775,Daniel García Carrillo,Dani García
6789,Mikel Balenziaga Oruesagasti,Mikel Balenziaga
6842,Iker Muniain Goñi,Iker Muniain
6877,Yeray Álvarez López,Yeray Álvarez
11744,Peru Nolaskoain Esnal,Peru Nolaskoain
11746,Unai López Cabrera,Unai López
11748,Unai Simón Mendibil,Unai Simón
349946,Hodei Oleaga Alarcia,Hodei Oleaga
3437,Francis Joseph Coquelin,
3457,Michy Batshuayi Tunga,Michy Batshuayi
4367,Gonçalo Manuel Ganchinho Guedes,Gonçalo Guedes
5186,Denis Cheryshev,
5718,Rodrigo Moreno Machado,Rodrigo
6401,Kevin Gameiro,Kévin Gameiro
6583,Carlos Soler Barragán,Carlos Soler
6585,Jeison Fabián Murillo Cerón,Jeison Murillo
6587,Antonio Latorre Grueso,Toni Lato
6589,Geoffrey Kondogbia,
6590,Norberto Murara Neto,Neto
6595,Daniel Parejo Muñoz,Dani Parejo
6596,José Luis Gayà Peña,José Gayá
6746,Gabriel Armando de Abreu,Gabriel Paulista
6797,Daniel Wass,
6891,Ezequiel Marcelo Garay,Ezequiel Garay
6898,Jaume Doménech Sánchez,Jaume Doménech
11634,Cristiano Piccini,
41407,Juan Brandariz Movilla,Chumi
3610,Roque Mesa Quevedo,Roque Mesa
5218,André Miguel Valente Silva,André Silva
5504,Éver Maximiliano David Banega,Éver Banega
5534,Simon Thorup Kjær,Simon Kjær
5742,Gabriel Iván Mercado,Gabriel Mercado
6334,Luis Fernando Muriel Fruto,Luis Muriel
6400,Aleix Vidal Parreu,Aleix Vidal
6719,Franco Damián Vázquez,Franco Vázquez
6720,Pablo Sarabia García,Pablo Sarabia
6723,Wissam Ben Yedder,
6724,Manuel Agudo Durán,Nolito
6804,Sergi Gómez Solà,Sergi Gómez
