208,Stade Ange Casanova (Ajaccio)
4827,Stade Michel d''Ornano
4175,Stade Louis II
153,Stade Raymond-Kopa
232,Stade Auguste-Delaune II 
4812,Stade Matmut Atlantique
193,Groupama Stadium
162,Allianz Riviera 
165,Stade de la Mosson 
542,Stadium de Toulouse
166,Roazhon Park
170,Stade de Gerland
117593,Accor Stadium
28884,Brisbane Stadium
28892,Eden Park
28889,Coopers Stadium
1001341,Forsyth Barr
98115,Wellington Regional Stadium
28886,AAMI Park
1001126,Allianz Stadium (Sydney)
1000938,Stadium Australia
1001342,FMG Stadium Waikato
28891,HBF Park
231,Stade du Hainaut
455,Stade des Alpes
230,Stade Océane
4745,Estadio Alberto José Armando
4784,Estadio Mâs Monumental
4541,PreZero Arena
4849,Volkswagen Arena
374,Mewa Arena
366,WWK Arena
377,BayArena
548,Merck-Stadion am Böllenfalltor
4729,Wohninvest Weserstadion 
363,RheinEnergieStadion
116458,Deutsche Bank Park
369,Mercedes-Benz-Arena
372,Stadion im BORUSSIA-PARK
551,Audi-Sportpark
378,Heinz von Heiden-Arena
