69257,2010-03-24,2010-03-24 20:00:00.000,2,0,available,scheduled,28
69253,2009-10-25,2009-10-25 21:00:00.000,6,1,available,scheduled,8
69244,2010-05-01,2010-05-01 22:00:00.000,1,4,available,scheduled,35
69277,2009-10-31,2009-10-31 20:00:00.000,1,1,available,scheduled,9
69229,2009-09-12,2009-09-12 18:00:00.000,0,2,available,scheduled,2
69219,2010-01-10,2010-01-10 21:00:00.000,0,5,available,scheduled,17
69218,2009-12-05,2009-12-05 22:00:00.000,1,3,available,scheduled,13
69250,2009-11-07,2009-11-07 20:00:00.000,4,2,available,scheduled,10
69242,2010-05-16,2010-05-16 19:00:00.000,4,0,available,scheduled,38
69256,2009-10-03,2009-10-03 20:00:00.000,1,0,available,scheduled,6
69298,2010-03-27,2010-03-27 20:00:00.000,0,1,available,scheduled,29
69259,2010-04-10,2010-04-10 22:00:00.000,0,2,available,scheduled,31
69224,2010-03-14,2010-03-14 19:00:00.000,3,0,available,scheduled,26
69210,2010-01-23,2010-01-23 20:00:00.000,0,3,available,scheduled,19
69220,2010-01-30,2010-01-30 20:00:00.000,0,1,available,scheduled,20
69237,2010-02-14,2010-02-14 21:00:00.000,2,1,available,scheduled,22
69226,2010-03-06,2010-03-06 20:00:00.000,2,2,available,scheduled,25
69252,2009-10-17,2009-10-17 22:00:00.000,0,0,available,scheduled,7
69255,2009-09-26,2009-09-26 20:00:00.000,0,2,available,scheduled,5
69214,2010-04-24,2010-04-24 18:00:00.000,3,1,available,scheduled,34
69262,2009-11-29,2009-11-29 19:00:00.000,1,0,available,scheduled,12
69240,2010-02-06,2010-02-06 20:00:00.000,2,1,available,scheduled,21
69233,2010-02-20,2010-02-20 20:00:00.000,4,0,available,scheduled,23
69213,2010-04-17,2010-04-17 20:00:00.000,0,0,available,scheduled,33
69238,2010-02-27,2010-02-27 22:00:00.000,2,1,available,scheduled,24
69267,2009-12-02,2009-12-02 22:00:00.000,0,2,available,scheduled,15
69288,2009-11-21,2009-11-21 22:00:00.000,1,1,available,scheduled,11
69254,2009-09-22,2009-09-22 22:00:00.000,1,4,available,scheduled,4
69292,2009-09-19,2009-09-19 22:00:00.000,5,2,available,scheduled,3
69227,2010-03-21,2010-03-21 21:00:00.000,2,4,available,scheduled,27
69247,2010-04-03,2010-04-03 20:00:00.000,4,1,available,scheduled,30
69221,2010-04-14,2010-04-14 22:00:00.000,3,0,available,scheduled,32
69276,2011-02-05,2011-02-05 22:00:00.000,3,0,available,scheduled,22
69304,2011-04-02,2011-04-02 22:00:00.000,0,1,available,scheduled,30
69307,2010-12-04,2010-12-04 20:45:00.000,0,3,available,scheduled,14
69271,2011-04-23,2011-04-23 20:00:00.000,2,0,available,scheduled,33
69305,2011-04-09,2011-04-09 20:00:00.000,3,1,available,scheduled,31
69278,2011-01-16,2011-01-16 21:00:00.000,4,1,available,scheduled,19
69275,2010-12-18,2010-12-18 20:00:00.000,1,5,available,scheduled,16
69295,2011-01-22,2011-01-22 20:00:00.000,3,0,available,scheduled,20
69270,2010-11-07,2010-11-07 19:00:00.000,1,3,available,scheduled,10
69303,2011-03-19,2011-03-19 20:00:00.000,2,1,available,scheduled,29
69245,2011-04-16,2011-04-16 22:00:00.000,1,1,available,scheduled,32
69287,2010-09-11,2010-09-11 18:00:00.000,0,2,available,scheduled,2
69296,2011-01-29,2011-01-29 20:00:00.000,0,3,available,scheduled,21
69260,2010-10-16,2010-10-16 20:00:00.000,2,1,available,scheduled,7
69269,2010-09-19,2010-09-19 19:00:00.000,1,2,available,scheduled,3
69246,2011-04-30,2011-04-30 20:00:00.000,2,1,available,scheduled,34
69302,2010-12-12,2010-12-12 21:00:00.000,5,0,available,scheduled,15
69282,2011-02-20,2011-02-20 21:00:00.000,2,1,available,scheduled,24
69274,2011-03-02,2011-03-02 22:00:00.000,0,1,available,scheduled,26
69283,2011-02-26,2011-02-26 20:00:00.000,0,3,available,scheduled,25
69280,2011-01-08,2011-01-08 22:00:00.000,0,4,available,scheduled,18
69286,2010-08-29,2010-08-29 19:00:00.000,0,3,available,scheduled,1
69291,2011-03-13,2011-03-13 21:00:00.000,1,1,available,scheduled,28
69236,2010-10-03,2010-10-03 19:00:00.000,1,1,available,scheduled,6
69234,2011-05-08,2011-05-08 19:00:00.000,2,0,available,scheduled,35
69272,2011-05-11,2011-05-11 20:00:00.000,1,1,available,scheduled,36
69308,2010-11-13,2010-11-13 22:00:00.000,3,1,available,scheduled,11
69299,2010-11-29,2010-11-29 21:00:00.000,5,0,available,scheduled,13
69300,2011-03-05,2011-03-05 20:00:00.000,1,0,available,scheduled,27
69289,2010-10-30,2010-10-30 22:00:00.000,5,0,available,scheduled,9
69263,2010-10-23,2010-10-23 18:00:00.000,0,2,available,scheduled,8
69306,2010-11-20,2010-11-20 20:00:00.000,0,8,available,scheduled,12
69248,2011-02-12,2011-02-12 20:00:00.000,1,1,available,scheduled,23
69328,2012-02-19,2012-02-19 21:30:00.000,5,1,available,scheduled,24
69329,2011-10-22,2011-10-22 22:00:00.000,0,0,available,scheduled,9
70219,2012-04-07,2012-04-07 20:00:00.000,1,4,available,scheduled,32
69331,2011-11-19,2011-11-19 20:00:00.000,4,0,available,scheduled,13
69337,2012-02-26,2012-02-26 21:30:00.000,1,2,available,scheduled,25
69322,2012-03-11,2012-03-11 18:00:00.000,0,2,available,scheduled,27
69316,2012-02-04,2012-02-04 22:00:00.000,2,1,available,scheduled,22
69332,2011-11-29,2011-11-29 21:00:00.000,4,0,available,scheduled,17
69335,2012-01-22,2012-01-22 18:00:00.000,1,4,available,scheduled,1
69330,2011-11-06,2011-11-06 20:00:00.000,2,2,available,scheduled,12
69297,2011-09-24,2011-09-24 22:00:00.000,5,0,available,scheduled,6
69325,2012-03-24,2012-03-24 18:00:00.000,0,2,available,scheduled,30
69324,2012-04-21,2012-04-21 20:00:00.000,1,2,available,scheduled,35
70225,2012-03-20,2012-03-20 21:00:00.000,5,3,available,scheduled,29
69293,2011-10-15,2011-10-15 20:00:00.000,3,0,available,scheduled,8
70223,2011-09-21,2011-09-21 22:00:00.000,2,2,available,scheduled,5
69333,2011-12-03,2011-12-03 20:00:00.000,5,0,available,scheduled,15
69264,2011-09-10,2011-09-10 18:00:00.000,2,2,available,scheduled,3
69343,2012-04-10,2012-04-10 21:00:00.000,4,0,available,scheduled,33
69340,2012-05-02,2012-05-02 20:00:00.000,4,1,available,scheduled,20
69265,2011-10-02,2011-10-02 20:00:00.000,0,1,available,scheduled,7
69319,2012-05-12,2012-05-12 22:00:00.000,2,2,available,scheduled,38
69334,2011-12-10,2011-12-10 22:00:00.000,1,3,available,scheduled,16
69327,2012-01-15,2012-01-15 21:30:00.000,4,2,available,scheduled,19
69315,2011-11-26,2011-11-26 22:00:00.000,1,0,available,scheduled,14
69336,2012-02-11,2012-02-11 20:00:00.000,3,2,available,scheduled,23
69326,2012-03-17,2012-03-17 20:00:00.000,0,2,available,scheduled,28
69268,2011-08-29,2011-08-29 21:00:00.000,5,0,available,scheduled,2
69320,2012-05-05,2012-05-05 21:00:00.000,4,0,available,scheduled,37
69312,2012-01-08,2012-01-08 21:30:00.000,1,1,available,scheduled,18
69314,2011-10-29,2011-10-29 20:00:00.000,5,0,available,scheduled,11
69318,2011-10-25,2011-10-25 20:00:00.000,0,1,available,scheduled,10
69338,2012-01-28,2012-01-28 22:00:00.000,0,0,available,scheduled,21
70220,2011-09-17,2011-09-17 20:00:00.000,8,0,available,scheduled,4
70224,2012-04-29,2012-04-29 21:30:00.000,0,7,available,scheduled,36
70221,2012-04-14,2012-04-14 22:00:00.000,1,2,available,scheduled,34
69323,2012-03-31,2012-03-31 22:00:00.000,2,0,available,scheduled,31
266015,2012-12-22,2012-12-22 18:00:00.000,1,3,available,scheduled,17
70270,2012-09-22,2012-09-22 22:00:00.000,2,0,available,scheduled,5
70281,2013-05-05,2013-05-05 21:00:00.000,4,2,available,scheduled,34
70308,2012-11-03,2012-11-03 18:00:00.000,3,1,available,scheduled,10
70282,2013-02-03,2013-02-03 19:00:00.000,1,1,available,scheduled,22
266724,2012-11-11,2012-11-11 17:50:00.000,2,4,available,scheduled,11
